Date,Open,High,Low,Close,Volume
2020-12-09,137.72817557442852,137.72817557442852,135.61760703646226,136.24160766601562,919300
2020-12-10,136.40679010928895,136.40679010928895,134.47057468914488,135.87457275390625,888000
2020-12-11,135.78281064009138,136.56280805067757,134.65412053005042,136.06727600097656,760100
2020-12-14,137.75573175667586,138.86607925015363,136.2324642064173,136.31504821777344,811100
2020-12-15,136.73712166426236,140.7196779732103,136.55359701455828,140.3893280029297,1555900
2020-12-16,141.16016965580266,142.01356575753394,137.88419726055668,137.98513793945312,821500
2020-12-17,138.80181374944252,140.58203236192807,138.28793909883515,139.35240173339844,925500
2020-12-18,139.47169470171463,139.99474066828367,137.3794828313711,137.86582946777344,1891400
2020-12-21,136.68207786456563,137.08584053115894,134.9202158665503,136.8289031982422,1134600
2020-12-22,137.03994628736226,137.03994628736226,135.2689130805203,135.86537170410156,823700
2020-12-23,136.6820607942001,138.25122659757037,135.21384964690435,135.26890563964844,731500
2020-12-24,135.70021206525342,136.85643005371094,135.27809273497152,136.85643005371094,253700
2020-12-28,137.26939162161756,138.57243520425558,136.71881751739656,137.32444763183594,546600
2020-12-29,138.37051620032327,139.3707514547324,137.59053293096144,138.31546020507812,685100
2020-12-30,138.4714916649011,139.2056044574395,137.88420423127775,138.22373962402344,361800
2020-12-31,138.18701842357765,140.9491160731737,137.83832571853318,140.82981872558594,521900
2021-01-04,140.88484994668804,141.12343059785576,136.3792475583993,137.86582946777344,1378900
2021-01-05,138.10439515548333,139.03120366363572,136.6361700712899,138.6457977294922,867600
2021-01-06,139.2790173539281,141.06840766212844,138.15949849402085,139.81124877929688,1206200
2021-01-07,141.21522607400212,141.85756948610938,139.28818183564408,139.60018920898438,851500
2021-01-08,139.56345894710375,144.40858295669366,139.0220562798356,144.0507049560547,1367400
2021-01-11,143.4817863995082,144.5737771608682,141.55474223216285,143.7387237548828,812300
2021-01-12,143.8671911658808,146.0052879987369,141.71073766436365,143.36248779296875,1128800
2021-01-13,143.70205503130308,147.92317962739943,143.36251959491497,146.5375518798828,898200
2021-01-14,146.381506961511,146.52831828891289,144.3168230231828,144.9866943359375,712400
2021-01-15,144.58293299962403,147.09726428151822,144.06905834394564,146.56503295898438,946600
2021-01-19,147.5835961773846,147.6661801669231,144.71138719026112,146.15208435058594,873100
2021-01-20,146.10623769938508,150.3732462933537,145.51895028427057,149.94195556640625,1051000
2021-01-21,149.66660935460712,150.48330577393043,146.72098824552447,147.64779663085938,785300
2021-01-22,147.22575274116036,148.40032754122353,145.9227092599039,147.65704345703125,674100
