Date,Open,High,Low,Close,Volume
2020-07-02,139.56754702201133,141.22582672043126,138.81678744025194,140.47506713867188,1247110
2020-07-06,142.41381794950956,143.53584691425058,141.07729465282108,142.38906860351562,786282
2020-07-07,141.79505773345133,143.97310279578795,141.6960603475624,142.82632446289062,1154688
2020-07-08,142.82632482314807,144.1875974955717,141.86107100178765,143.93185424804688,888598
2020-07-09,143.403838520418,144.06385039951948,140.50804775713226,142.82632446289062,723892
2020-07-10,143.057362131407,143.98963166469167,140.91233041440015,142.46334838867188,654750
2020-07-13,146.85241602729795,150.93623464697092,144.85588052613474,147.06692504882812,1422990
2020-07-14,149.73168893263335,155.07776717976006,147.77640278432725,154.97052001953125,1488756
2020-07-15,156.75254963650576,157.47030995457433,153.59275135000487,155.72128295898438,1007908
2020-07-16,155.30879958569457,160.0526298550457,154.49202712635653,157.1238250732422,637988
2020-07-17,158.13855957561938,160.72910807197698,158.13855957561938,159.7638397216797,784420
2020-07-20,160.0526089472585,161.9418822334246,158.72433547309308,161.27362060546875,681988
2020-07-21,161.6036363302945,163.21241713466418,161.38089220963485,162.3708953857422,675004
2020-07-22,162.98139197085558,165.56369077695993,162.5771380287082,165.0604248046875,932830
2020-07-23,164.42516288486073,166.55370906756556,162.6678861731852,163.9796600341797,792218
2020-07-24,163.34441755220467,164.34268518765742,160.11862073742273,163.9631805419922,944353
2020-07-27,163.3031364726232,166.35568725479754,162.61012557735128,166.07518005371094,1051441
2020-07-28,167.49422615625681,170.5632769616097,160.91062166109384,162.1481475830078,1672202
2020-07-29,163.5176659924265,164.59018159349702,160.20110715368637,160.5558624267578,1206253
2020-07-30,159.54934375530775,161.1498746883901,157.96532703905444,160.74562072753906,873233
2020-07-31,160.50639440629837,160.9518973649181,156.38957663432674,159.16162109375,745426
2020-08-03,158.7573580241053,163.3939265419189,158.6336112796527,161.7191619873047,609238
2020-08-04,161.0344022696271,162.0244055414406,159.2193620803721,160.68789672851562,546614
2020-08-05,161.54588963248608,162.17290239664135,159.227598222881,159.6566162109375,682686
2020-08-06,159.4255805214005,160.36609950757708,155.43251071055576,156.56277465820312,928057
2020-08-07,156.03481443926648,159.33487419992957,156.03481443926648,159.31837463378906,940279
2020-08-10,158.9883428312198,159.53284307866278,154.42600838890144,154.5910186767578,886968
2020-08-11,154.77253068255092,156.52155786554678,150.20196061540875,153.5597686767578,1052140
2020-08-12,154.34353615250785,156.09256343544968,153.1720229929003,155.18504333496094,616571
2020-08-13,154.41777595297427,157.3300811101367,153.38650916110325,157.23931884765625,587587
2020-08-14,157.0907966200394,157.676560397715,155.4985155659471,156.62054443359375,491557
2020-08-17,157.21458354422435,157.47859126608327,153.2627761127602,154.90455627441406,1044341
2020-08-18,155.01179498465538,155.96881376579225,153.05650850766736,153.88153076171875,603650
2020-08-19,154.83028910476278,154.83028910476278,150.3339667924829,150.7382354736328,800599
2020-08-20,149.847209337714,152.9080106535569,149.64095011326285,149.88845825195312,679892
2020-08-21,149.88848287730428,150.38348458275374,148.37871375508846,149.0139617919922,931549
2020-08-24,149.6326916684647,149.72345392779224,146.62965365965223,147.73516845703125,720400
2020-08-25,147.51242719488764,148.52719450668368,146.00265822884646,148.14768981933594,987188
2020-08-26,147.49591817579721,148.18892923928203,145.83763856247518,147.9166717529297,1231396
2020-08-27,143.51107256758524,147.025640631111,140.29352594107888,143.76683044433594,3402488
2020-08-28,143.94834254178156,146.5141271710969,142.19931559066956,146.36563110351562,1286918
2020-08-31,145.7138386412092,146.62134372684488,144.97957893159028,144.99607849121094,800483
2020-09-01,144.91363738343773,146.6214010852534,142.24059045319433,143.6431121826172,975665
2020-09-02,144.37736374668515,146.65440630486827,142.76033309947525,145.96139526367188,735066
2020-09-03,146.09338353869947,147.15764938809167,142.37257063024478,144.14634704589844,826440
2020-09-04,144.57537030366782,146.25013474217897,141.25881124970255,144.97137451171875,883360
2020-09-08,143.8988694359816,145.2023791095909,141.22582251825943,143.32960510253906,874746
2020-09-09,144.31961239627393,146.32439743695795,142.73558091081557,144.97137451171875,907454
2020-09-10,146.04389706786034,152.17374943239628,145.70564132060295,149.814208984375,1608764
2020-09-11,151.12598141407065,151.12598141407065,148.2384255930234,149.7152099609375,577228
2020-09-14,149.98746749597902,151.81075756893168,149.02219886675525,151.08474731445312,695257
2020-09-15,151.8107380679188,155.77079482485908,151.3239715974569,153.38650512695312,736463
2020-09-16,154.731264109684,154.95402286841835,152.33047506672685,152.88323974609375,805372
2020-09-17,151.66222482415372,151.66222482415372,149.17068799570825,151.02696228027344,714463
2020-09-18,150.72171596836162,152.2397492820863,149.18719774215936,151.30747985839844,902798
2020-09-21,148.9974217390693,152.76773328132305,147.3391569517679,152.07472229003906,880566
2020-09-22,151.3487059617832,153.6999962971601,150.26794060938786,152.54498291015625,690368
2020-09-23,152.29748248471424,152.29748248471424,147.1163995654123,147.4134063720703,818408
2020-09-24,147.09992311623765,148.56844316295508,145.60665371951418,146.72866821289062,500404
2020-09-25,146.64613633787647,150.02867859947096,145.9201116131323,149.3191680908203,523218
2020-09-28,151.01872293807824,153.63402133512986,151.01872293807824,151.86024475097656,495748
2020-09-29,152.86675271773692,155.63054703469456,152.04173052187733,153.84027099609375,641946
2020-09-30,153.43598375526702,156.62054589312834,153.31223703485253,155.3252716064453,768938
2020-10-01,156.02655277384437,157.96533956724076,153.3535060366013,154.20327758789062,541260
2020-10-02,152.2150077225942,156.67008119083238,151.31573738435534,155.09429931640625,522985
2020-10-05,156.52157003085713,160.30013195307012,156.4225726316503,159.27711486816406,832958
2020-10-06,159.47509517374337,161.66962504128765,157.63532057511048,157.66831970214844,453378
2020-10-07,158.92234639004226,160.60537530363737,158.3695963035988,158.82334899902344,611333
2020-10-08,159.739104411495,160.6796235010702,157.82506710498265,160.26710510253906,385633
2020-10-09,161.28187989833532,162.41215867724483,160.32486119956874,161.504638671875,400882
2020-10-12,162.2058775047018,162.56888252704618,159.5658303216498,159.7638397216797,406352
2020-10-13,158.49336884712883,161.3396615283732,157.75910877101552,160.25889587402344,649046
2020-10-14,160.8941533403805,162.60193182455646,158.03136118385027,159.12037658691406,446510
2020-10-15,157.84160986242895,159.96189229517393,156.75259440171328,159.0131378173828,532763
2020-10-16,160.4816111885508,166.94971844661836,160.3743640265594,164.25192260742188,886386
2020-10-19,164.07041501181314,166.0587003463465,163.68266061372321,164.92843627929688,713881
2020-10-20,166.1824607486072,170.8025290245282,166.1824607486072,169.30101013183594,1068436
2020-10-21,168.80603432933046,170.10955877190972,167.5025098867512,167.60977172851562,759161
2020-10-22,168.77300561326064,169.6722758421307,166.5372266943953,169.34226989746094,710040
2020-10-23,170.7695488255058,174.25110364516652,170.02703907861675,171.1820526123047,788494
2020-10-26,169.34231229723198,169.66406854017737,165.06048372673027,166.61976623535156,917814
2020-10-27,167.0734654943388,175.29059975315684,166.59496350204657,170.35702514648438,1335806
2020-10-28,167.6592221228584,171.76778907633718,166.59495636839432,168.302734375,713998
2020-10-29,168.06349475763844,168.30275309678098,161.3396291408676,164.606689453125,1031071
2020-10-30,164.14468085931156,165.225446256324,161.8098899907941,164.8129425048828,621576
2020-11-02,168.6245032949646,171.43779617625628,166.8507122496904,170.967529296875,807234
2020-11-03,172.55980902078895,175.10910885707685,172.37831381876416,173.65707397460938,910015
2020-11-04,174.9028630833461,178.36791828418782,173.63233795861916,174.66360473632812,1141651
2020-11-05,177.386135327431,180.48818518298611,175.79386881702135,176.89938354492188,700728
2020-11-06,177.03964801646404,179.654946358073,176.10737861171702,176.49514770507812,623322
2020-11-09,173.66532685146933,174.38308719695738,160.46511873623007,163.80642700195312,1756825
2020-11-10,164.88720111306998,166.24022405487892,159.05435578545575,165.959716796875,1166212
2020-11-11,167.6344856354219,170.01052542046102,166.66096740119178,167.89024353027344,740071
2020-11-12,168.3522415436955,168.86374266668167,164.9614347037387,166.27320861816406,581651
2020-11-13,167.40348901054847,167.93975418441036,164.4499349695308,164.66444396972656,766610
2020-11-16,166.32273136402054,170.3570510720184,162.06566751602043,168.71527099609375,828535
2020-11-17,166.7764882938972,169.47428461701938,165.2584695773208,168.9380340576172,789308
2020-11-18,169.67229431611958,169.98580073035328,163.8641978494967,164.20245361328125,729130
2020-11-19,164.66442644469305,165.66269398974563,162.54414462913846,163.9879150390625,628444
2020-11-20,163.83115349768698,169.68874704665583,163.83115349768698,167.2549591064453,888132
2020-11-23,168.6492353338511,169.69700149757935,163.4103898619574,163.65789794921875,713881
2020-11-24,164.60667272965844,165.79468521589217,162.46989141877273,163.9796600341797,673374
2020-11-25,164.1777013906059,164.46645845023545,161.19939783413437,162.08216857910156,603418
2020-11-27,163.25365852488895,165.78644413070865,162.51939863225485,165.002685546875,252355
2020-11-30,165.0026782667369,166.33095170166786,163.20415263290465,164.8706817626953,678496
2020-12-01,165.97620580711083,167.29622953500643,164.66443186118323,166.20721435546875,479568
2020-12-02,166.2072304724498,167.1889839283494,163.37742310373653,164.04568481445312,478171
2020-12-03,164.44993123720977,165.3657010419762,161.60363908751634,162.23065185546875,957274
2020-12-04,162.52767134565565,164.39219557684547,161.6284010355551,164.05393981933594,1255723
2020-12-07,163.34439646447885,164.96967666233948,161.7521300453858,162.79989624023438,728431
2020-12-08,162.15643929068526,167.20552701524264,162.15643929068526,166.73526000976562,737394
2020-12-09,166.57847266324373,167.1724716305528,164.74693310871587,166.95797729492188,589100
2020-12-10,167.3457487828042,171.850320782954,166.92499519749887,171.26455688476562,925962
2020-12-11,170.42303890996212,171.18204820264077,167.20549187190883,168.43475341796875,1012796
2020-12-14,169.3587620975225,171.18203716957976,168.39349365234375,168.39349365234375,990680
2020-12-15,169.63104973034106,170.19204965440392,168.4595218753371,169.76304626464844,613312
2020-12-16,170.77779182146534,171.39655480370163,166.05046139334604,166.6279754638672,1007558
2020-12-17,167.65097288957142,167.82421829857822,166.0009433470518,167.2219696044922,814102
2020-12-18,166.8754948550131,169.41653056102112,166.28973096259756,169.21852111816406,1468386
2020-12-21,167.05698250476968,169.18551431601549,165.91021877388647,169.061767578125,681638
2020-12-22,168.91330953416877,169.30106405347465,167.02402099068513,167.79953002929688,456288
2020-12-23,167.61800442056497,168.94627807889674,167.10648857486632,168.35226440429688,505176
2020-12-24,169.1277496426117,169.1277496426117,167.2632257040012,168.1954803466797,239784
2020-12-28,169.44950067506173,170.2002600969139,166.21545445275504,167.0817108154297,960184
2020-12-29,167.45296572845223,168.1047277728179,165.67918944142986,166.8177032470703,662200
2020-12-30,167.0734510092518,167.8902232872479,165.8194256854107,166.24844360351562,464203
2020-12-31,165.95145249261685,168.0799841089822,165.38218824393053,167.93148803710938,433241
2021-01-04,167.73350353278423,169.48253079420505,165.56372268531408,169.02877807617188,918745
2021-01-05,169.94453023752382,173.35182213905932,169.40001531002667,172.24630737304688,744029
2021-01-06,171.000550393272,180.23243780868788,171.000550393272,179.15167236328125,880100
2021-01-07,180.4634637563244,181.7917374529696,178.96194461398943,180.0922088623047,739722
2021-01-08,179.44867089865022,180.80169375186097,173.36831784115415,176.18162536621094,999410
2021-01-11,176.16511690624446,179.19290395591148,175.40609304519057,179.0279083251953,758695
2021-01-12,179.02790620499263,181.91544693435415,178.82989679722505,181.66795349121094,787097
2021-01-13,181.35446494284955,183.38399929533622,181.24720312037365,181.55245971679688,763700
2021-01-14,182.4187129085847,183.26846970321574,181.12343860978987,181.66795349121094,644274
2021-01-15,181.40393792949138,184.64623377270132,179.92716850339025,184.56373596191406,731225
2021-01-19,186.74179201835327,187.54206485387755,182.4104805115214,186.23854064941406,1077748
2021-01-20,186.45306650462004,189.7531115721252,185.46304858839176,189.67886352539062,945052
2021-01-21,188.60633123274476,190.38835746431354,187.78132370156152,188.47433471679688,739140
2021-01-22,188.80431749206022,189.06007538342968,187.0222913408564,188.8455810546875,712717
2021-01-25,189.61284332284262,189.61284332284262,184.23375099635646,185.99102783203125,828535
