Date,Open,High,Low,Close,Volume
2020-07-02,324.5289780249133,325.4305829492447,319.01385584379426,319.6372985839844,707900
2020-07-06,324.76874374352263,329.9961024995877,323.8095921254207,327.0898742675781,1296500
2020-07-07,325.5264381965507,331.5019332450041,325.5264381965507,327.2528991699219,836800
2020-07-08,331.281341971225,340.25898572636606,331.281341971225,339.8465576171875,1121200
2020-07-09,339.48208617347916,342.2156738181501,335.1659043990453,338.3119201660156,1126400
2020-07-10,338.59959078825153,339.8656775644331,334.29301069840926,337.43902587890625,821000
2020-07-13,338.59970318147634,341.8991871819662,330.18795379235297,331.9527893066406,919700
2020-07-14,330.8401041596516,337.4390708496492,329.8042334680727,337.2760314941406,724500
2020-07-15,342.48429989883795,342.48429989883795,335.9237058723393,340.3070068359375,613100
2020-07-16,338.65724231131327,340.17271826803875,332.681746430953,335.23309326171875,624600
2020-07-17,337.1130380256179,340.58516238147917,335.32900070168114,340.2015075683594,577800
2020-07-20,338.1968526466465,344.6327515465663,338.1968526466465,343.46258544921875,597700
2020-07-21,344.3353986288376,344.8149743929446,338.8298782236032,340.3357238769531,611400
2020-07-22,339.4245911502827,343.60647830116983,339.1944041206149,341.8896179199219,634700
2020-07-23,340.4891896664958,343.0309646183609,332.07744135021875,334.03411865234375,1383300
2020-07-24,333.17085470725226,337.91866639361785,331.33890108027555,335.67425537109375,860900
2020-07-27,335.8278148126367,340.98805603241146,335.1180518676528,336.9692077636719,1057800
2020-07-28,342.0047772226743,342.0047772226743,329.5837492368025,333.40118408203125,1185300
2020-07-29,334.0053698776838,345.2945735934488,334.0053698776838,345.1602783203125,1036300
2020-07-30,339.88492902338993,342.0622217741365,334.41778275394773,337.9762268066406,1122600
2020-07-31,339.2135509733858,340.24942179957003,330.6387335146451,335.9428405761719,1126800
2020-08-03,338.35033742111415,340.7673889844132,335.26186801029525,336.35528564453125,673300
2020-08-04,334.2642764362931,336.5662340353171,328.1544864542288,331.6457824707031,1116300
2020-08-05,332.8447963317507,335.65513292306036,331.53076324953014,333.19970703125,712200
2020-08-06,332.9599346404928,338.32158912215664,332.2021966028626,338.1681213378906,623300
2020-08-07,335.70308936113446,337.13221600341336,327.703767830019,333.0845947265625,828000
2020-08-10,330.90732384607156,331.2046585200225,326.57196886541124,330.01531982421875,552700
2020-08-11,330.8400877622758,335.4248303164921,327.7708208227335,329.669921875,745100
2020-08-12,333.24766253602166,338.5805435430664,332.854406834119,334.9261779785156,522200
2020-08-13,333.1996963023869,341.9087801583821,333.1996963023869,341.5826721191406,723000
2020-08-14,340.00005608478284,343.13647115358043,336.5183312329071,337.88031005859375,530800
2020-08-17,338.83939021768884,345.15062255466023,338.83939021768884,342.55133056640625,618800
2020-08-18,342.56095629271863,347.4814082274089,341.93751366477716,345.4096374511719,561100
2020-08-19,347.0114812999102,348.26796761122426,343.1365004642701,343.4817810058594,1018900
2020-08-20,340.61389141071896,346.7141104476872,340.50839879101585,346.4647216796875,735500
2020-08-21,347.01142812687647,348.5268746121685,343.71194463712135,347.2224426269531,722500
2020-08-24,349.2078810823564,350.09031338161896,343.61604046291774,345.2945556640625,588500
2020-08-25,347.0531133394455,347.17804023852597,343.1997343396386,344.49700927734375,528200
2020-08-26,344.01651856751874,353.05896744893346,343.20933248994726,350.1761474609375,676900
2020-08-27,351.4446457225782,353.18394501886286,345.82314007424395,349.76300048828125,600600
2020-08-28,351.3485069938241,352.73226297965385,349.06146503597876,352.5016174316406,509900
2020-08-31,354.70218655522365,354.85594048228745,350.04162144772516,352.107666015625,775300
2020-09-01,351.91541885600276,355.3267438435296,350.5893170736328,354.00067138671875,564900
2020-09-02,355.68236971617546,365.03229777976026,355.29797022974543,363.62933349609375,764900
2020-09-03,361.69788252108833,361.9669446019129,338.0107126457133,339.87493896484375,1352100
2020-09-04,339.8460474672807,342.59432181970493,324.5959342001495,331.697265625,1275000
2020-09-08,326.3928503819405,331.4377848635694,321.96290218782923,327.3537902832031,1055000
2020-09-09,332.4852574279784,342.4405822735401,331.4090092636542,338.03948974609375,842900
2020-09-10,337.84724720071813,340.83578562801495,329.15075257693746,331.02459716796875,679600
2020-09-11,333.75373761707385,337.50139831092025,332.19701927698117,335.16632080078125,681900
2020-09-14,338.7505664747265,342.87300738606257,338.250888219786,339.2983093261719,628500
2020-09-15,343.4592107215658,346.4477202455834,340.77817973072837,343.247802734375,779300
