Date,Open,High,Low,Close,Volume,STOCHk_14_3_3,STOCHd_14_3_3,WILLR_14,MFI_14,ADX_14,DMP_14,DMN_14,ATRr_14,SMA_20,CMF_20,pctile_20,close_sma20_ratio,vol_zscore_20,vol_ma_ratio_20,bb_percent,bb_width,gap_over_atr,ret_z_5,vol_pctile_20,atr_rank,five_day_long_profit,five_day_class
2020-08-03,133.93642316380922,134.2735376031573,132.47860619411435,133.9910888671875,582400,90.97244111162733,93.19038502011414,-9.596047508301508,80.58436252964786,,31.56666663662969,3.9700528857266453,2.4874996362612753,127.57168121337891,0.2662383005529032,0.9265840752997325,0.05032000513555479,-1.1770591474931917,0.7506799169921246,0.7923571142175572,17.211828509878252,-0.09888660768353369,0.20348338118489948,0.1,,0.0178850032796894,Flat
2020-08-04,133.47169916506982,134.5650545181233,132.9796802193968,134.39193725585938,686000,91.90992540003339,92.24273251220394,-6.75597873478615,80.2884685343637,,30.795758636618764,3.737819948228889,2.4073678101332407,128.35479736328125,0.3069764799688661,0.9488597893457088,0.04703478184373022,-0.5435908472615579,0.8846533280890327,0.7855523772722949,16.471507711833556,-0.21575004032679634,0.4151943961401799,0.3,,-0.03537840604106067,Sell
2020-08-05,135.02065085924542,135.04798370652875,132.70636783560488,134.1641845703125,506400,90.38682845161973,91.08973165442683,-12.48748840205317,73.94131817910323,,29.929865831304088,3.4196375682063027,2.4016272237116305,129.06047019958496,0.2918323186548685,0.9362032492676639,0.03954514006368437,-1.4985625455361058,0.6601529145672961,0.7517940910600974,15.705348722518623,0.2617865075723082,0.3313170957189358,0.05,,0.000615469570007401,Flat
2020-08-06,133.31679705554615,134.8110524878639,132.12320284988022,133.90902709960938,737600,88.1932295753298,90.16332780899431,-16.176844137171276,66.21050011081479,,27.08026125914739,5.159751406414557,2.4262257853721176,129.80213012695313,0.2924190639017314,0.9133354188024304,0.0316396731597508,-0.17663413090318253,0.9600728905665289,0.7223683866609981,14.228494272428074,-0.3492616061849277,-1.1664047313224215,0.55,,0.0003565728442989125,Flat
2020-08-07,133.9363575326255,136.7061917344504,133.10722436361678,136.47840881347656,785500,89.66785622404247,89.41597141699732,-2.3320987886481515,66.65981174766249,,30.16789798920252,4.536884603777329,2.525571822108526,130.54925727844238,0.2898718563964159,0.9860100477854185,0.04541696872612744,0.07927723581978756,1.017796868217657,0.835048806910957,13.55532919065057,0.010821483189221192,1.7620894469802941,0.55,,-0.029039351299951412,Sell
2020-08-10,136.86109131889313,137.097980542993,135.2483844049686,135.8588409423828,598600,89.41186723686913,89.09098434541379,-13.255455363573132,66.88235490826573,,29.605161938219382,4.252752566138298,2.469058858887417,131.28453903198243,0.30244835283860155,0.9228148251554436,0.03484265507674156,-0.906296046282243,0.7954764420169965,0.7856504949571133,12.197652618096374,0.15499124455421395,0.7898889958085352,0.25,,-0.011266223824425966,Flat
2020-08-11,135.55710869532703,135.80402901891298,129.59454453899244,130.24383544921875,740900,64.35523121275314,81.14498489122157,-91.34675220951931,59.97994655449678,68.86527077091768,24.100108461810333,20.244791294037164,2.782532486315917,131.65388031005858,0.21743970832834109,0.559304176516125,-0.0107102415630973,0.07128952128104149,1.0135014978865435,0.39986872185324035,10.696199790238955,-0.1084379961562555,-1.5983609722404395,0.6,,0.02005148189596702,Buy
2020-08-12,130.89311453764327,134.50540675682487,130.5913261914105,133.3988494873047,602600,48.69954354444985,67.48888066469071,-49.299161793557985,59.52528066275201,62.459731634051586,21.210569382118866,17.817494516638195,2.9033467746116757,132.21650657653808,0.2701738082756767,0.7599091478121813,0.008942475802612204,-0.8413345747546697,0.8425320703275193,0.6064534981513592,8.40035880258019,0.2236312569005342,-0.2359900572265575,0.3,,-0.009361210004874217,Flat
2020-08-13,132.85927841591777,134.58769221840328,131.95391348919176,133.98411560058594,613400,39.28496631595262,50.77991369105187,-41.499187049064844,67.20276920780029,56.98939830020415,19.873940229562987,16.500733290838923,2.8815508245851555,132.61432418823242,0.22642836200606473,0.7163823318613018,0.010329136167894326,-0.7731296921068855,0.8878403219036316,0.6422819988555903,7.2596226163351965,-0.18725023580474107,-0.0035444836669056064,0.4,,-0.012862658147855859,Flat
2020-08-14,133.6640689264239,134.13960153194503,132.4111874490275,132.88673400878906,378600,51.02580326123657,46.33677104054635,-56.12424137366745,61.49422821436582,52.23122240766904,18.887462674200503,15.681690723013254,2.7891845363627903,132.8251579284668,0.1736509076196671,0.5973848143255586,0.0004635874805842821,-2.444514578787235,0.5646658761940982,0.5069022430364714,6.7164757620761355,-0.11474560753853266,-0.19071916773900582,0.05,,-0.016164810202106226,Flat
2020-08-17,133.51777124226285,135.45651797576528,132.68556808618655,134.02989196777344,657900,53.82915219867581,48.046640591955,-40.88911498124027,61.2517979825616,48.99271000682327,21.147980245920564,14.443884149651979,2.787736497210828,133.16193923950195,0.20526658295951497,0.6979954839502627,0.006518024093284058,-0.0895376435932005,0.9840258458224894,0.6176124287681445,5.54195178311749,0.22636186530009303,0.7179326874467425,0.5,,-0.015464396730381249,Flat
