Date,Open,High,Low,Close,Volume,STOCHk_14_3_3,STOCHd_14_3_3,WILLR_14,MFI_14,ADX_14,DMP_14,DMN_14,ATRr_14,SMA_20,CMF_20,pctile_20,close_sma20_ratio,vol_zscore_20,vol_ma_ratio_20,bb_percent,bb_width,gap_over_atr,ret_z_5,vol_pctile_20,atr_rank,five_day_long_profit,five_day_class
2020-07-07,205.6100006103516,206.8300018310547,201.19000244140625,202.92999267578125,974800,,,,,,,,,,,,,,,,,,,,,-0.05121107490888663,Strong Sell
2020-07-08,202.3000030517578,204.42999267578125,199.3000030517578,202.0200042724609,999800,,,,,,,,,,,,,,,,,,,,,0.009210203706159175,Flat
2020-07-09,201.9499969482422,202.13999938964844,191.08999633789065,192.3000030517578,1257200,,,,,,,,,,,,,,,,,,,,,0.052037423180654324,Strong Buy
2020-07-10,193.1300048828125,196.52999877929688,191.83999633789065,195.9900054931641,1641500,,,,,,,,,,,,,,,,,,,,,0.02587424191857908,Buy
2020-07-13,197.8800048828125,199.3600006103516,192.4600067138672,192.7100067138672,1236800,,,,,,,,,,,,,,,,,,-0.8884839071028175,,,0.04306566410536982,Buy
2020-07-14,191.8000030517578,193.33999633789065,186.97999572753903,191.94000244140625,1410700,,,,,,,,,,,,,,,,,,-0.7185763063450279,,,0.014619460524965195,Flat
2020-07-15,199.0500030517578,205.2400054931641,197.75,203.80999755859372,1331300,,,,,,,,,,,,,,,,,,1.6930040399035198,,,0.025252008360579538,Buy
2020-07-16,200.3800048828125,203.8300018310547,200.3699951171875,203.17999267578125,830400,,,,,,,,,,,,,,,,,,0.9986645714762211,,,0.012655694946257985,Flat
2020-07-17,203.07000732421875,206.5,201.8999938964844,203.0,734100,,,,,,,,,,,,,,,,,,0.6740251632890729,,,0.007816760465477227,Flat
2020-07-20,202.1300048828125,202.3999938964844,196.0,200.05999755859372,742600,,,,,,,,,,,,,,,,,,-0.06835494541210141,,,0.004242405746922492,Flat
2020-07-21,198.0,207.8500061035156,196.25,201.9600067138672,1273700,,,,,,,,,,,,,,,,,,-0.3009873469730539,,,-0.01921260615551238,Flat
2020-07-22,201.42999267578125,206.07000732421875,200.58999633789065,205.44000244140625,749700,,,,,,,,,,,,,,,,,,1.384806715595522,,,-0.007819327939140372,Flat
2020-07-23,204.6199951171875,209.1699981689453,203.1199951171875,205.63999938964844,944800,,,,,,,,,,,,,,,,,,1.022489668968974,,,-0.028754485426472656,Sell
2020-07-24,204.4900054931641,206.32000732421875,202.4499969482422,203.7100067138672,645900,,,-24.60563701827201,52.12405722552589,,,,,,,,,,,,,,0.14674027284691746,,,-0.04578489249362625,Sell
2020-07-27,202.25,202.5399932861328,195.7700042724609,198.83999633789065,1253700,,,-46.55250425650698,47.786083153457334,,26.357118597053564,29.4500589584083,6.867938022972952,,,,,,,,,-0.2125829774502229,-1.5185682638193325,,,-0.03753462497543239,Sell
2020-07-28,198.75,202.16000366210935,197.17999267578125,197.55999755859372,595100,58.84033215883997,,-52.320862248701104,49.154417592893935,,24.26123815114393,27.10823231015268,6.666958760166478,,,,,,,,,-0.013498859244241997,-1.2346566179937648,,,-0.0021114984727400197,Flat
2020-07-29,198.91000366210935,205.5,198.52999877929688,203.0200042724609,720200,57.803825676204745,,-27.715156466177703,56.07035523210935,,26.40010202168715,23.851650250872968,6.797894411052962,,,,,,,,,0.19859180238524995,0.37086993022627807,,,0.008489025535118502,Flat
2020-07-30,200.25999450683597,200.7700042724609,196.2100067138672,198.6100006103516,938600,57.458331155798724,58.034162996947806,-47.588987817725034,58.85927753560164,,23.763294214447285,24.871990368238645,6.799101323469552,,,,,,,,,-0.40593743706948054,-0.6192316344452272,,,0.027602859825890235,Buy
2020-07-31,198.52999877929688,199.2700042724609,190.83999633789065,192.9900054931641,1306900,50.59338964667105,55.28518215955817,-72.91568677608412,49.632886545075294,,20.97101960334911,29.43455740370462,6.95725918159302,,,,,,,,,-0.01149904423086301,-1.4550317621069582,,,0.055607360086487014,Strong Buy
2020-08-03,193.13999938964844,193.69000244140625,188.17999267578125,191.2899932861328,1238500,31.437301253314377,46.49634068526138,-85.18342164624771,50.23827549110963,,19.369000258771578,30.873881982363155,6.820407682517696,199.35000076293946,0.004757610874985585,0.19423150447930437,-0.04043143940787508,0.6647439112736019,1.1893615284520054,0.07693129137696524,9.556707594723246,0.02199192533150417,-1.1563361529297629,0.65,,0.1437519209881782,Must Buy
2020-08-04,191.5800018310547,199.1100006103516,191.2899932861328,198.4900054931641,1099400,30.33985590180391,37.456848933929784,-50.88132387225643,49.218491457800226,,24.59032009279248,27.645984424096145,6.912792575763767,199.12800140380858,0.06670293524447213,0.5187025010933535,-0.003203948747271923,0.17490753357850705,1.0495014533981835,0.46601892420302576,9.428626587381908,0.04195244421749963,0.340052219803524,0.55,,0.08159894516790775,Strong Buy
2020-08-05,199.8800048828125,203.3000030517578,198.1100006103516,201.9600067138672,913400,43.19520461723038,34.99078725744956,-34.349640629804725,49.519992195726275,,28.493895290910903,25.723743744137334,6.756842947676308,199.1250015258789,0.08525530483085259,0.6750792851818543,0.014237314080421282,-0.4359035662350312,0.8755541709602435,0.6510575675078808,9.42509158283541,0.20571728548558801,1.2018981770702797,0.4,,0.0842917209923099,Strong Buy
2020-08-06,200.8500061035156,206.6000061035156,200.8500061035156,204.00999450683597,816800,63.39529655280379,45.643452357279365,-24.583145839527464,49.84238950203329,,30.70754335842006,23.753213758831265,6.667409516794177,199.71050109863282,0.13913180075185957,0.7674626816407716,0.02152862961412194,-0.6871749449722401,0.7998394054083167,0.7371944625565722,9.07636265285375,-0.1664815409276527,1.1345731188079224,0.35,,0.09029410867130055,Strong Buy
2020-08-07,204.0,204.3699951171875,201.41000366210935,203.8800048828125,564400,71.95492491403155,59.515142028021906,-25.202438788573144,50.481474054723535,,29.45659684731545,22.785568788593537,6.343726990617262,200.10500106811523,0.1010842992613586,0.7616046550647625,0.018865114787472326,-1.4601219559581462,0.5834496304336589,0.7081504669325078,9.063210409991207,-0.0015754944767876003,0.7436167233713787,0.05,,0.09768210702655479,Strong Buy
2020-08-10,205.3600006103516,220.4499969482422,205.0200042724609,219.1199951171875,1666000,82.03097839639075,72.46039995440869,-4.121480182727167,52.321437251344655,,42.78241574279266,18.29299674656751,7.222593911780787,201.42550048828124,0.22661835896834673,0.9602628687616538,0.0878463480840932,2.1682590028965563,1.684853510785692,1.256894146080586,11.606160324926114,0.20491193961840595,1.7168976201764352,1.0,,0.009687780949979113,Flat
