Date,Open,High,Low,Close,Volume,STOCHk_14_3_3,STOCHd_14_3_3,WILLR_14,MFI_14,ADX_14,DMP_14,DMN_14,ATRr_14,SMA_20,CMF_20,pctile_20,close_sma20_ratio,vol_zscore_20,vol_ma_ratio_20,bb_percent,bb_width,gap_over_atr,ret_z_5,vol_pctile_20,atr_rank,five_day_long_profit,five_day_class
2020-07-07,142.55999755859375,144.44000244140625,141.74000549316406,141.94000244140625,817900,,,,,,,,,,,,,,,,,,,,,0.03661617080596292,Buy
2020-07-08,142.55999755859375,144.4199981689453,142.30999755859375,144.1699981689453,783700,,,,,,,,,,,,,,,,,,,,,0.05834544575440652,Strong Buy
2020-07-09,143.97000122070312,145.9499969482422,142.72000122070312,144.99000549316406,742800,,,,,,,,,,,,,,,,,,,,,0.0320622901166856,Buy
2020-07-10,145.02999877929688,145.30999755859375,141.38999938964844,142.67999267578125,761900,,,,,,,,,,,,,,,,,,,,,0.06815976804778703,Strong Buy
2020-07-13,144.22000122070312,146.35000610351562,141.14999389648438,141.27999877929688,816100,,,,,,,,,,,,,,,,,,-1.1231199349583953,,,0.09449924970448202,Strong Buy
2020-07-14,141.8000030517578,147.99000549316406,140.60000610351562,147.77999877929688,1320300,,,,,,,,,,,,,,,,,,1.4613084037582105,,,0.04633331298828125,Buy
2020-07-15,150.0,152.88999938964844,149.25999450683594,152.3699951171875,1004200,,,,,,,,,,,,,,,,,,1.4841941490125345,,,0.08192286257885885,Strong Buy
2020-07-16,151.85000610351562,151.85000610351562,148.16000366210938,149.67999267578125,940800,,,,,,,,,,,,,,,,,,0.6239807925559409,,,0.06982902554426787,Strong Buy
2020-07-17,150.94000244140625,155.07000732421875,149.91000366210938,154.0500030517578,968700,,,,,,,,,,,,,,,,,,1.011709587463238,,,0.02773082867484336,Buy
2020-07-20,153.6199951171875,155.57000732421875,153.02999877929688,155.1999969482422,945900,,,,,,,,,,,,,,,,,,1.1037250557973632,,,0.03899094847748178,Buy
2020-07-21,156.19000244140625,159.24000549316406,155.9199981689453,156.9499969482422,1443700,,,,,,,,,,,,,,,,,,1.1882378322577982,,,-0.008809219565264642,Flat
2020-07-22,160.05999755859375,166.16000366210938,160.0,164.2899932861328,1836700,,,,,,,,,,,,,,,,,,1.5464512843971252,,,-0.028172431545985886,Sell
2020-07-23,164.6999969482422,164.99000549316406,160.5500030517578,161.47999572753906,1937900,,,,,,,,,,,,,,,,,,0.7105843100342155,,,-0.014386328156032871,Flat
2020-07-24,160.57000732421875,161.0,156.4600067138672,157.8800048828125,1071900,,,-32.39436451555131,61.954660368565605,,,,,,,,,,,,,,-0.34868210285873796,,,-0.00018936232573922343,Flat
2020-07-27,158.4199981689453,163.5500030517578,158.00999450683594,162.27999877929688,1047700,,,-15.179989254372872,64.62638498789133,,39.47166761980172,11.114662692453335,5.017710997402239,,,,,,,,,0.10761745473431548,0.5533545600464524,,,0.015307040477362205,Flat
2020-07-28,158.75,160.92999267578125,157.72000122070312,158.64999389648438,1677600,74.3479195271924,,-29.381887648498594,56.33468598400541,,35.615566337532584,10.650117623843093,4.968985115669104,,,,,,,,,-0.7104063902637671,-0.8577799789422129,,,0.0031318510436285736,Flat
2020-07-29,159.64999389648438,160.8800048828125,159.02000427246094,160.05999755859375,1170800,77.19089407597558,,-23.865440869201837,57.65662741225737,,33.87279248812156,10.128976213031791,4.687274938970975,,,,,,,,,0.21334357660264236,-0.005406766510010025,,,0.01740506329113924,Flat
2020-07-30,158.0,159.08999633789062,156.1699981689453,158.25999450683594,893100,71.9483214932442,74.49571169880406,-30.907707002567008,56.96797931463489,,31.021202852297417,15.444094187014208,4.607771507596623,,,,,,,,,-0.4470702497286434,-0.6493066130841658,,,0.019240463836283625,Flat
2020-07-31,158.0,158.6300048828125,155.7100067138672,158.38999938964844,1014000,71.60925715877659,73.58282424266545,-30.39908065190138,56.06295133291353,,29.044601119045026,15.463786016864255,4.444098974526915,,,,,,,,,-0.05850331154328411,-0.670271938433538,,,0.009241125883133432,Flat
2020-08-03,159.07000732421875,161.97000122070312,158.4600067138672,161.17999267578125,743800,70.34216154790289,71.29991339997456,-27.666727701822914,54.85534346316473,,34.03054165291361,14.263787392671418,4.362390190867268,153.67799758911133,0.11426780412573145,0.8051638708136828,0.04881632507164757,-0.9720510029061266,0.6780464459080654,0.7559304958561739,19.07405559792335,0.15587966798428982,1.4748973307618218,0.1,,-0.0029354894691864617,Flat
2020-08-04,160.11000061035156,160.83999633789062,159.0,160.14999389648438,890000,69.51508283463819,70.48883384710588,-33.388943142361114,49.280345778122424,,32.38263152128527,13.573071388221239,4.160688876620496,154.58849716186523,0.15565457031257776,0.764866575129843,0.03597613559044999,-0.5837063732155028,0.8086645223427648,0.7005199929879901,17.941420730353123,-0.257167045448201,0.4329112152750591,0.3,,-0.013560386634094427,Flat
2020-08-05,161.5,161.82000732421875,159.6699981689453,160.75,721500,68.55066630915019,69.46930356389709,-33.29233022836539,54.20045333709051,,33.02828137298284,12.909127306472053,3.9786790377587224,155.41749725341796,0.12900448043746968,0.7883409945674885,0.0343108262635774,-1.0331867035105102,0.657421159576116,0.701292422756957,17.04526469185812,0.33931013049901937,0.744497878544508,0.05,,0.011614876504270186,Flat
2020-08-06,161.0,161.67999267578125,159.49000549316406,161.0399932861328,1150900,64.77466446937486,67.61347120438775,-38.99473322114893,47.84279376326688,,31.34628374718987,12.670272459961824,3.8197974070481706,156.2199966430664,0.13456480879026345,0.7996865858754701,0.030853903127902482,0.09321885684468435,1.0295426590629542,0.6920652682428485,16.064280340832156,0.06544849722624237,0.6475741523746493,0.7,,0.0231177561867691,Buy
